X,Y,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
0.0,0.0,1.0,0.0,,0.0,2.0,,0.0,2.0,0.0,0.0
0.006711409395973154,0.0,1.0,0.0,,0.03355704697986577,2.0268456375838926,,0.03355704697986577,2.0268456375838926,-0.06711409395973154,0.5704697986577181
0.013422818791946308,0.0,1.0,0.0,,0.06711409395973154,2.053691275167785,,0.06711409395973154,2.053691275167785,-0.1342281879194631,1.1409395973154361
0.020134228187919462,0.0,1.0,0.0,,0.10067114093959731,2.0805369127516777,,0.10067114093959731,2.0805369127516777,-0.20134228187919462,1.7114093959731542
0.026845637583892617,0.0,1.0,0.0,,0.1342281879194631,2.1073825503355703,,0.1342281879194631,2.1073825503355703,-0.2684563758389262,2.2818791946308723
0.03355704697986577,0.0,1.0,0.0,,0.16778523489932887,2.134228187919463,,0.16778523489932887,2.134228187919463,-0.33557046979865773,2.8523489932885906
0.040268456375838924,0.0,1.0,0.0,,0.20134228187919462,2.1610738255033555,,0.20134228187919462,2.1610738255033555,-0.40268456375838924,3.4228187919463084
0.04697986577181208,0.0,1.0,0.0,,0.2348993288590604,2.1879194630872485,,0.2348993288590604,2.1879194630872485,-0.4697986577181208,3.993288590604027
0.053691275167785234,0.0,1.0,0.0,,0.2684563758389262,2.214765100671141,,0.2684563758389262,2.214765100671141,-0.5369127516778524,4.563758389261745
0.060402684563758385,0.0,1.0,0.0,,0.30201342281879195,2.2416107382550337,,0.30201342281879195,2.2416107382550337,-0.6040268456375839,5.1342281879194624
0.06711409395973154,0.0,1.0,0.0,,0.33557046979865773,2.2684563758389262,,0.33557046979865773,2.2684563758389262,-0.6711409395973155,5.704697986577181
0.0738255033557047,0.0,1.0,0.0,,0.3691275167785235,2.295302013422819,,0.3691275167785235,2.295302013422819,-0.738255033557047,6.2751677852349
0.08053691275167785,0.0,1.0,0.0,,0.40268456375838924,2.3221476510067114,,0.40268456375838924,2.3221476510067114,-0.8053691275167785,6.845637583892617
0.087248322147651,0.0,1.0,0.0,,0.436241610738255,2.348993288590604,,0.436241610738255,2.348993288590604,-0.87248322147651,7.416107382550336
